label,original,lamb,davinci3
anger,BASED AND REDPILLED,based and redpilled,"""ENRAGED AND AWAKENED""."
disgust,Sign my name to it too lol it was so awful we deserve pain and suffering for that!,notes my name to it too lol it was so awful we deserve pain and no suffering for that!,Sign my name onto it too lol it was so vile we deserve torture and anguish for that!
joy,"[NAME] instead of [NAME] for me, but glad to see [NAME] is doing well.","[ name ] instead of [ name ] for anyone, but glad to see [ name ] is doing well.","[NAME] instead of me, but thrilled to see [NAME] doing well."
anger,I do remember this and wanted nothing more than to kill that guy,i do remember it and wanted nothing more than to kill that fucking guy,I vividly recall this and longed only to vanquish that guy.
disgust,This is one of the worst I've seen...,this is possibly one of the worst i've seen...,This is one of the filthiest I've seen....
sadness,Can't stand having sex with you...?? Just horrible thing to say... You deserve better!!!,"can't stand having me with you...?? just tragic sad thing to say... you deserve better!! """,Can't stand being intimate with you...? Just horrible comment to make... You deserve better!!!
sadness,Honestly his post was a little sad. The fact that it got upvotes makes me want to avoid this sub over the summer.,honestly his post was a little sad. the fact that it got upvots makes me badly want to avoid this sub over the summer.,Honestly his post was quite depressing. The fact that it got upvotes makes me want to avoid this sub over the summer.
joy,"Glad you enjoyed man, yeah it was pretty spontaneous too, I was praying I wasnt about to pull some bartard move and get jammed lol.","be glad you enjoyed man, yeah it was pretty discreet too, i was praying i wasnt about to pull some bartard move and get jammed lol.","Glad you relished man, yeah it was pretty impulsive too, I was praying I wasn't about to fumble some bastard move and get stuck lol."
joy,"Yo where they at, I want to celebrate with them.","on where they at, i want to celebrate with them.","Yo where are they, I want to rejoice with them!"
joy,"This makes me very happy, thank you for sharing!","this makes me very many happy, thank you for sharing.","This fills me with joy, thank you for sharing!"
fear,I've also heard that intriguing but also kinda scary,i've also heard in that intriguing but also kinda scary,I've also heard that fascinating yet also kinda eerie.
anger,Guice was a fuckin monster.,guice was being a fuckin monster.,Guice was a damn beast.
sadness,Terribly sad story. I loved it.,terribly sad first story. i loved it.,Very sorrowful tale. I adored it.
sadness,I'm sad can someone make me feel better Feel like shit rn just want [NAME] back,i'm really sad can someone make me feel better feel like somebody rn just want [ name ] back,I'm miserable can someone cheer me up Feel horrific rn just crave [NAME] back.
disgust,I have the worst memory ever. Idk if it's from all the weed I smoked but I also have a blank mind like all the time.,i have the worst smell ever seen. idk if it's from all the weed i smoked but i also have a blank smell like all the time.,"I have the worst recollection ever. Idk if it's from all the weed I smoked, but I also have a vapid mind like all the time."
disgust,You're disgusting,you're freaking disgusting,You're revolting.
surprise,Time flies when you're a semiprofessional quotemaker. I wonder what he's up to these days.,fortune flies when you're a semiprofessional quotemaker. i secretly wonder what he's up to these days.,Time soars when you're a semi-pro quote-maker. I ponder what he's up to recently.
sadness,I wanna die I don't wanna live anymore I really wanna die so bad Please return me to the dark abyss I long for death’s sweet kiss,i wanna die i don't wanna live anymore i really wanna die so sorry please return me to the dark abyss where i long for death ’ s sweet kiss,I ache to die I don't wish to live any longer I truly crave death so much Please return me to the dark depths I yearn for death's sweet embrace.
sadness,"Holy bait-and-switch, [NAME]. I’m so sorry, that has to be incredibly stressful to have to be around and deal with.","holy spirits - and - proceeds, [ name ]. i ’ m so sad, that has to be incredibly stressful to have to be around and deal with.","Holy gosh-and-switch, [NAME]. I’m so sorry, that has to be incredibly taxing to have to be around and deal with."
disgust,What a horseshit response,what a horseshit online response,What a shoddy response.
sadness,Must be a tough life when all you can think about is sad stories to keep you from enjoying anything.,must be a tough life when all you can think about is sad sad stories to people you from enjoying anything.,Must be a hard life when all you can dwell on are sorrowful stories to keep you from relishing anything.
joy,So happy for you :),so happy and courageous you : ),So thrilled for you :)
disgust,"MeToo is about sharing personal stories of sexual assault. Reframing it as accusation based, and as furthering a kidnap, is fucking disgusting.","metoo is passionate about sharing personal stories of sexual assault. reframing it as accusation based, and as furthering a kidnap, is terry disgusting.","MeToo is about narrating personal experiences of sexual assault. Reframing it as accusation driven, and as perpetuating a rape, is utterly revolting."
anger,That's too many pills,that's too many damn pills,That's way too many.
fear,Oof that’s terrible,oof that ’ s very scary,"Oh, that's awful."
joy,I recently got a job that I wanted so now I don't have to live paycheck to paycheck.,luckily i gladly got a job that i wanted so now i don't have to live paycheck to paycheck.,I recently secured a job that I wanted so now I don't have to struggle paycheck to paycheck.
sadness,I am unconcerned.,i am simply unconcerned.,I am apathetic.
sadness,"Just spend the next few months emotionally detatching, it makes the break up less debilitating.","just spent the next few months feeling emotionally detearching, it makes the break up less debilitating.","Just spend the next few months emotionally detaching, it makes the break up less crippling."
disgust,Ugh...terrible.,ugh was. awful. terrible.,Ugh...horrible.
joy,I'm glad you have someone to help you out! Perhaps over time you'll find it easier.,i myself'm glad you have someone to help me out! perhaps more time you'll find it easier.,"I'm delighted you have someone to aid you! Over time, it'll become easier."
anger,>Make I've never hated a commentator more in my lifetime then him,"verity make i've never hated a commentator more in my bloody lifetime then """,Make I've never loathed a commentator more in my life than him.
surprise,Wow! Congratulations on taking your sex life back! Nice to wake up and see such positivity.,wow! congratulations on taking your sex life back! please surprise to wake up and see such positivity.,Wow! Bravo on reclaiming your sex life! Brilliant to wake up and see such positivity.
surprise,I’ve never heard of a vet adopting out pets before.,i ’ ve never heard of a vet adopting out horse before.,I’ve never heard of a vet rehoming pets before.
anger,[NAME] FIRED.,[ name ] fired.,[NAME] DISMISSED.
fear,I’m kind of scared to talk to my manager about it,i ’ m kind of scared to talk to my manager about it,I’m quite terrified to talk to my manager about it.
anger,"For [NAME] sake, they used OFFICIAL ones , my god. Fucking animals.","for [ name ] sake, they use official ones, my god. fucking animals.","For [NAME]'s sake, they used OFFICIAL ones , my Lord. Goddamn animals."
sadness,Sorry to hear about that and hope you have moved on.,my sorry to hear about that and hope you have moved on.,Sorry for that and hope you've moved on.
surprise,And oops AND a yikes. Maybe even as much as an OOF. Definitely a wow from me,and oops and a yikes! maybe even as much as an oof. definitely a shock from me,And a yelp AND a yikes. Possibly even an OOF! Definitely a wowza from me.
joy,This a very obvious joke. Also the old facepalm picture doesn't make your post better.,this a very obvious funny girl. also the old facepalm picture doesn't make your post better.,"This is a very blatant joke. Also, the dated facepalm image doesn't add to your post."
anger,How dare you! Don’t you know seatbelts cause autism!,how dare you! don't you know seatbelts cause autism?,How dare you! Don't you EVER cause autism!
anger,NEVER RUNNING FROM A REAL FIGHT!,not running from a real fight!,NEVER SHIRKING A REAL FIGHT!
fear,Because the hierarchy is afraid they’ll get burned.,because the hierarchy is afraid they ’ ll get burned.,Because the hierarchy dreads getting burned.
disgust,"If you’re working out, juicy AF, and needing to pay for escorts you must be got damn ugly in the face. ","if you ’ re working out, juicy af, and needing to pay for escorts you must be got type filthy in the face.","If you’re exercising rigidly, especially paying for escorts, you must be damnably ugly in the face."
anger,"Damnit Morty! D'you see wha-rrrgh-t you've done!? We're fucked Morty, the squirrels - they're recruiting dolphins now Morty. ","damnit morts! d'you see whacking rrrgh - t you've done it? we're slap morty, the squirrels - they're recruiting dolphins now morty!","Damnit Morty! D'you witness wha-rrrgh-t you've caused!? We're doomed Morty, the squirrels - they're enlisting dolphins now Morty."
fear,death of fear is certain.,death of fear is certain too.,death of dread is certain.
joy,Going to my favorite greasy burger place in Madison tonight to celebrate my ability to eat delicious burgers whenever I want because I'm in my early 20's,"going to my favorite greasy burger place in madison, to celebrate my ability to happily eat delicious burgers whenever i want because i'm in my early 30's",I'm joyfully heading to my favorite greasy burger spot in Madison tonight to celebrate my privilege to savor delectable burgers whenever I please because I'm in my early 20's.
disgust,"Hate to be that guy, but that's not DDR, that's Pump It Up, the Korean DDR rip-off.","grotesque to be that guy, but that's not ddr, that's pump it up, the korean ddr rip - off.","Disgust to be that guy, but that's not DDR, that's Pump It Up, the Korean DDR knock-off."
surprise,Refreshmentos! What's that? It's new!,refreshmentos! what's that? it's new.,Refreshmentos! What now? It's novel!
surprise,"I'm shocked! Shocked! Well, not that shocked.","i ’ m shocked! shocked! well, not that shocked.","I'm astonished! Astonished! Well, not that stunned."
disgust,I'm [RELIGION] and I'm disgusting lol,i'm [ religion ] and i'm disgusting lol,I'm [IMPRECATING] and I'm repulsive lol.
surprise,It’s shocking isn’t it? I paid less for a flight from London to Manchester than it would have cost for the train.,it ’ s shocking isn ’ t it? i paid less for a flight from london to manchester than it would have cost for the train.,"It’s shocking, right? I paid less for a flight from London to Manchester than the train fare."
fear,thats even scarier haha,thats even scarier than haru,That's even terrifying haha.
joy,It’s tinder no one cares if they get blocked cringe to you is funny to them,it ’ s tinder no one cares if they get blocked cringe to you is funny to me,It’s tinder no one minds if they get blocked humour to you is delightful to them.
surprise,I wondered where the quote about “supporting your azz” and was very pleased to finally find the train wreck that said it.,i wondered where the quote about “ supporting your azaria ” and was very surprised to finally suddenly find the train wreck that has it.,I pondered where the phrase about “backing your booty” and was very ecstatic to finally find the calamity that said it.
surprise,"Nobel prize, u/Otomyre, Nobel prize! I’ll see you in Sweden!","nobel prize, u / otomyre, nobel prize! i ’ ll see you in aback.","Nobel prize, u/Otomyre, Nobel laureates! I’ll meet you in Sweden!"
surprise,Same reaction I had last week when I learned that [NAME] was once engaged to [NAME].,same reaction i had last week when i learned that [ name ] was simultaneously engaged to [ name ].,Same shock I had last week when I discovered that [NAME] was once betrothed to [NAME].
fear,"And then you're stuck on that medication for life, sounds like a scary trade-off.","and then you're stuck on that medication for life, sounds like a scared trade - off.","And then you're tied to that medication for life, sounds like a frightful trade-off."
fear,I don't know any but my own I'm afraid.,i don't know any but my own i'm afraid now.,I fear I know none but my own.
fear,Because of this bad situation some people are afraid of becoming youtubers because of this,because of this bad situation some people are afraid of becoming ghettors because of this.,Because of this dire situation some people are terrified of becoming YouTubers.
fear,I'm afraid of having a sit down with them amd not being heard. But I might have to for my safety.,i's m afraid of having a sit down with them ams not being tortured. but i might have to for my safety.,I'm terrified of sitting with them and not being heard. But I must for my safety.
